res_id,Count
HIS,85766
MET,77552
LYS,310098
VAL,281636
GLY,246925
TYR,121567
ALA,277871
ILE,222859
PRO,170688
ASN,151066
SER,209120
THR,196726
LEU,341552
ARG,295478
GLU,240036
GLN,137075
PHE,135823
ASP,178836
TRP,38211
MG,72792
GNP,15
MRD,6
HOH,409862
CYS,45314
ACT,82
C,262079
A,260040
G,336371
U,215036
LCC,47
LCG,23
PZG,2
EDO,318
DT,2533
DA,2335
DC,2699
DG,2584
SUR,4
GDP,29
K,2487
SAH,50
MUM,4
ZN,2038
SPD,113
1MG,31
2MG,113
H2U,59
M2G,30
T6A,13
7MG,58
5MC,259
1MA,40
C2E,7
GTP,191
CL,385
ADP,77
CA,531
GTA,3
IRI,149
AMP,21
AET,3
G7M,46
5MU,160
PSU,1427
GOL,274
SO,639
ATP,69
SEP,29
IHP,20
PRF,13
75B,2
UNK,12113
KIR,2
SF,59
ANP,32
URU,5
SR,475
MPD,65
MES,7
PO,151
BEF,49
PPU,7
GH,5
5GP,22
NA,680
2IA,1
LDA,1
PE,1
PG,21
1PE,22
NI,10
DU,30
GLC,10
FRU,4
IR,30
U3H,1
CH,9
MN,439
PPV,9
MSE,1015
TPO,9
ACE,5
NCO,157
5BU,84
KGN,1
9QV,3
DOC,4
CD,86
4OC,37
UR,62
MA,111
6MZ,93
3TD,12
OMG,620
OMC,401
2MA,26
OMU,363
CLM,4
MEQ,6
CSO,1
PEG,71
MPO,2
PGO,3
HEZ,2
POL,9
POP,32
EFZ,3
3DR,5
F,16
M7G,6
NVP,4
IUM,75
N,339
POH,3
1N,19
ERY,3
SIS,1
0TD,22
UY,7
A2M,521
MVM,2
MLZ,25
B8N,11
4AC,95
IAS,5
UXY,1
FMT,29
BDF,1
CO,19
GLP,2
M4H,4
BRU,29
BOG,1
BTN,3
73W,4
PLR,4
FLC,7
MMP,1
HPA,1
I2A,4
NAG,254
BMA,19
8AZ,7
4DU,2
4SU,45
MIA,14
CCC,35
BME,3
DUT,1
Z2V,1
US,7
IGU,2
B9B,6
P4U,2
B8Q,5
I4U,4
E7G,4
B8H,9
P7G,4
B8W,10
B9H,2
B8K,4
BGH,2
E6G,2
MHG,2
B8T,6
M7A,7
MQ,1
MMX,2
3HE,3
YMP,1
6IA,2
9K,2
DDE,2
SAM,28
EKJ,5
TEP,2
TLA,7
PGE,24
DI,10
MGT,3
IU,14
AM,6
DGT,4
S4C,2
U5P,2
CNY,4
1TU,1
B1Z,3
SRY,3
PAR,52
70U,5
12A,5
ADE,3
VAA,2
UDP,4
LHH,4
HIC,8
AYA,16
AAC,7
M3L,6
SAC,21
NMM,6
AME,6
HY,6
A7C,3
CAC,9
CFL,18
UFT,29
ACY,13
0G,9
P6G,1
4PQ,1
23G,10
PGP,2
G2P,1
EPE,21
GUN,6
I,157
MAN,13
CFZ,32
ZAD,4
UTP,10
WDP,2
2MU,3
RSQ,8
LSS,2
ETF,4
BU,14
CIT,12
FES,9
MMC,9
O2Z,1
THC,4
QSA,3
J,4
LI,3
FSJ,1
BLS,3
TEL,3
EOH,5
AT,3
SPM,43
NAD,14
KBE,10
DPP,12
UAL,10
5OH,8
4QM,2
URI,4
F3S,2
ZJS,3
AMO,2
DCT,2
HEM,1
G5J,2
D2T,5
4D,8
FME,7
CBV,53
PYI,2
HG,12
NVA,2
2AD,2
FHU,9
AU,2
CDP,3
MYN,2
ZKP,2
5AD,6
GCP,6
2BA,8
GMP,11
ALF,10
U5M,2
APC,15
2SG,2
BR,29
A5A,2
5CT,2
QUO,4
BA,211
QSI,1
B3P,6
F6X,6
F6U,4
GT,2
V8A,2
CTC,1
MLI,8
LCA,4
SMC,4
L3X,2
31H,2
CSG,1
A5M,3
BGC,2
I2T,2
PUT,44
UBD,4
2KH,5
CAS,7
TLN,4
IPH,23
F7R,12
F7X,8
F7O,8
F7U,4
TSB,10
DTP,11
PRP,3
M7M,2
6D,2
